neutrino,169000
deep,475000
lynx,520000
hades,535000
witch,513000
build,620000
crux,652000
sophie,600000
aegis,465000
giren,188000
panotty,407000
zoro,457000
luffy,361000
rulue,226000
pegasus,244000
